#,role_id,recency,frequency,monetary
355,25300000017321,10,1,6
356,25400000026018,0,58,5844
357,25400000026871,12,2,12
358,25400000028046,4,2,36
359,25500000000377,1,12,404
360,25600000002096,58,2,36
361,25600000008199,0,4,264
362,25800000012006,13,1,6
363,25800000022003,10,1,6
364,25800000024521,2,36,12138
365,25900000000047,13,5,170
366,26000000000994,2,9,198
367,26000000004505,49,2,12
368,26200000001485,0,113,37770
369,26400000000491,7,3,66
370,26500000002525,0,68,3714
371,26800000004505,36,1,6
372,26900000001017,0,5,54
373,26900000002192,29,1,30
374,26900000003033,50,1,6
375,26900000004006,43,2,18
376,26900000004009,0,80,4914
377,26900000004010,35,1,6
378,27000000000031,54,2,74
379,27000000000172,59,4,278
380,27000000000558,1,375,194568
381,27000000000871,52,4,178
382,27000000002094,38,2,12
383,27000000002281,57,1,6
384,27000000002370,56,1,6
385,27100000000055,54,1,6
386,27100000000078,54,1,6
387,27100000000120,52,2,12
388,27100000000249,51,4,140
389,27100000000426,54,1,6
390,27100000000538,36,8,232
391,27100000000571,53,1,6
392,27100000000625,53,1,30
393,27100000000764,53,1,30
394,27100000000838,53,1,6
395,27100000001196,45,3,42
396,27100000001511,42,4,30
397,27100000001547,46,1,6
398,27100000001866,48,1,6
399,27100000001948,48,1,6
400,27100000002000,41,6,60
401,27100000003011,44,2,18
402,27100000003074,43,1,6
403,27100000003431,18,1,6
404,27200000000006,0,80,6638
405,27200000000047,40,1,6
406,27200000000055,39,7,250
407,27200000000074,0,88,33956
408,27200000000231,36,2,104
409,27200000000376,24,2,12
410,27200000000425,36,1,6
411,27200000000442,40,1,6
412,27200000000464,39,2,12
413,27200000000498,38,2,36
414,27200000000627,35,1,6
415,27200000000650,37,33,11244
416,27200000000651,4,274,104276
417,27200000000718,37,2,12
418,27200000000731,35,2,36
419,27200000001062,28,36,8838
420,27200000001100,34,1,6
421,27200000001639,32,1,6
422,27200000001658,31,1,6
423,27200000001799,30,1,6
424,27200000002271,29,1,6
425,27300000000027,16,132,51404
426,27300000000040,26,1,30
427,27300000000041,0,14,282
428,27300000000045,0,259,120490
429,27300000000051,21,19,1922
430,27300000000340,24,2,36
431,27300000000349,26,1,6
432,27300000000405,18,1,6
433,27300000000870,24,1,6
434,27300000000908,0,58,3710
435,27300000000994,10,8,756
436,27300000001418,16,3,464
437,27400000000048,16,10,436
438,27400000000130,19,1,6
439,27400000000192,19,1,30
440,27400000000387,18,1,6
441,27400000000401,0,6,368
442,27400000000419,14,1,6
443,27400000000442,18,1,6
444,27400000000467,16,1,30
445,27400000000469,18,1,6
446,27400000000514,18,1,30
447,27400000000676,17,1,6
448,27400000000982,15,1,6
449,27400000001104,14,2,36
450,27400000001222,6,5,980
451,27400000001396,14,1,12
452,27500000000011,10,2,36
453,27500000000045,12,1,6
454,27500000000219,11,1,30
455,27500000000249,11,4,140
456,27500000000417,10,1,6
457,27500000000495,8,1,6
458,27500000000503,10,1,6
459,27500000000518,11,1,648
460,27500000000698,9,2,18
461,27500000000709,10,1,6
462,27500000000775,10,1,6
463,27500000000899,6,5,888
464,27500000000927,8,1,30
465,27500000001029,9,1,6
466,27500000001138,8,1,30
467,27500000001158,9,1,30
468,27500000001598,6,1,6
469,27600000000261,4,4,146
470,27600000000310,5,1,30
471,27600000000374,4,1,6
472,27600000000382,4,1,30
473,27600000000433,2,1,6
474,27600000000572,0,2,36
475,27600000000606,1,1,6
476,27600000000619,2,1,6
477,27600000000675,1,3,104
478,31000000025724,13,1,5
479,31000000025959,0,5,30
480,31200000003745,5,2,36
481,31200000018506,36,3,526
482,31200000026408,33,1,510
483,31200000040100,2,2,30
484,31300000003565,59,1,6
485,31300000016481,1,2,36
486,31300000021102,19,1,6
487,31400000000950,1,4,48
488,31400000040501,60,1,6
489,31500000006731,0,4,60
490,31500000027520,6,1,30
491,31700000001423,36,1,510
492,31800000001273,5,2,128
493,31800000009548,28,1,510
494,31800000060946,58,1,6
495,31800000092049,5,2,12
496,31800000092156,12,1,6
497,31800000096497,27,1,6
498,31800000172954,53,1,98
499,31800000189458,0,4,24
500,31800000220511,0,1,510
501,31800000220539,18,1,510
502,31800000220540,18,1,510
503,31800000220544,18,1,510
504,31800000220549,13,1,510
505,31800000220557,13,1,510
506,31800000236745,39,1,510
507,31800000236769,50,1,648
508,31800000236782,54,1,648
509,31800000236788,38,1,510
510,31800000236867,50,1,648
511,31800000236920,40,1,648
512,31800000236926,50,1,648
513,31800000237070,33,1,510
514,31900000032043,11,1,6
515,31900000158085,7,2,770
516,32000000002279,58,1,6
517,32000000041328,58,1,6
518,32000000086029,1,1,30
519,32100000066914,4,3,1238
520,32200000006142,35,1,5
521,32200000036810,58,1,6
522,32300000086470,18,2,60
523,32300000175165,58,1,6
524,32300000223386,33,1,6
525,32400000002837,17,2,12
526,32400000009957,58,1,6
527,32500000000322,34,1,5
528,32500000023225,15,3,48
529,32500000078261,0,6,60
530,32600000001207,17,1,6
531,32600000036149,0,83,1890
532,32800000092655,8,3,24
533,32900000000181,57,1,30
534,32900000001427,47,1,30
535,32900000006026,14,1,30
